time_s,timestamp,P,PCP,PWp,PPmax,Eexp_J,Wbal_J,MPA_W,k_strain,SR_total,SR_CP,SR_Wp,SR_Pmax
145,2024-06-02 11:47:43,52,52,0,0,2648.8329233570107,15498.167076642989,790.050374728952,0.2892427053842912,15.040620679983142,15.040620679983142,0,0
146,2024-06-02 11:47:44,61,61,0,0,2627.4047765253795,15519.59522347462,790.8670224585356,0.29097821793419887,17.749671293986133,17.749671293986133,0,0
147,2024-06-02 11:47:45,39,39,0,0,2607.442816005884,15539.557183994115,791.6277923871896,0.28416607153586676,11.082476789898804,11.082476789898804,0,0
148,2024-06-02 11:47:46,13,13,0,0,2584.4973764015363,15562.502623598464,792.5022656351297,0.2764968761507985,3.5944593899603805,3.5944593899603805,0,0
149,2024-06-02 11:47:47,0,0,0,0,2558.0861475240836,15588.913852475916,793.508823517515,0.2722773078526091,0,0,0,0
150,2024-06-02 11:47:48,15,15,0,0,2530.131653080405,15616.868346919595,794.5741967669362,0.2750844367054712,4.126266550582068,4.126266550582068,0,0
151,2024-06-02 11:47:49,0,0,0,0,2504.5520068990736,15642.447993100926,795.5490622157162,0.270406215869666,0,0,0,0
152,2024-06-02 11:47:50,0,0,0,0,2477.182527873307,15669.817472126693,796.5921399527647,0.26944961486356866,0,0,0,0
153,2024-06-02 11:47:51,0,0,0,0,2450.112139615103,15696.887860384897,797.6238190467953,0.26850346749193377,0,0,0,0
154,2024-06-02 11:47:52,0,0,0,0,2423.337573692235,15723.662426307765,798.6442240609715,0.2675676595185514,0,0,0,0
155,2024-06-02 11:47:53,0,0,0,0,2396.8555973895586,15750.144402610442,799.6534781972437,0.26664207795557254,0,0,0,0
156,2024-06-02 11:47:54,0,0,0,0,2370.663013318699,15776.336986681301,800.6517033112243,0.2657266110498676,0,0,0,0
157,2024-06-02 11:48:13,0,0,0,0,2344.756659032002,15802.243340967998,801.6390199269007,0.26482114826953346,0,0,0,0
158,2024-06-02 11:48:14,0,0,0,0,2319.1334066407057,15827.866593359295,802.6155472511869,0.2639255802905476,0,0,0,0
159,2024-06-02 11:48:15,0,0,0,0,2293.7901624372867,15853.209837562714,803.5814031883161,0.26303979898356916,0,0,0,0
160,2024-06-02 11:48:16,111,111,0,0,2268.7238665219284,15878.276133478072,804.536704354077,0.29187594001013173,32.39822934112462,32.39822934112462,0,0
161,2024-06-02 11:48:17,381,199.4,133.91555812608445,47.68444187391555,2257.6990416522194,15889.30095834778,804.9568712620998,0.40237260887778437,153.30396398243585,80.23309821023021,53.883952492517174,19.186913279688465
162,2024-06-02 11:48:18,0,0,0,0,2439.2990416522193,15707.700958347781,798.0359168343707,0.2681255348180752,0,0,0,0
163,2024-06-02 11:48:19,27,27,0,0,2412.642640118465,15734.357359881535,799.0518184875775,0.27397797772467786,7.397405398566302,7.397405398566302,0,0
164,2024-06-02 11:48:20,47,47,0,0,2389.8306006720313,15757.16939932797,799.9212077244296,0.2783963889932628,13.084630282683351,13.084630282683351,0,0
165,2024-06-02 11:48:21,30,30,0,0,2369.844645849058,15777.155354150942,800.6828920995642,0.2732149263489586,8.196447790468758,8.196447790468758,0,0
166,2024-06-02 11:48:22,13,13,0,0,2347.8253727494634,15799.174627250537,801.5220682320203,0.2681250526897899,3.485625684967269,3.485625684967269,0,0
167,2024-06-02 11:48:23,32,32,0,0,2323.8327179879743,15823.167282012026,802.4364518785209,0.27207440298703617,8.706380895585157,8.706380895585157,0,0
168,2024-06-02 11:48:24,34,34,0,0,2302.4947084144005,15844.5052915856,803.2496643886373,0.27181970428943836,9.241869945840904,9.241869945840904,0,0
169,2024-06-02 11:48:25,16,16,0,0,2281.6040738819656,15865.395926118035,804.0458269963758,0.26652473287753553,4.2643957260405685,4.2643957260405685,0,0
170,2024-06-02 11:48:26,35,35,0,0,2258.6615043197235,15888.338495680277,804.9201908641912,0.27049441835873483,9.46730464255572,9.46730464255572,0,0
171,2024-06-02 11:48:27,95,95,0,0,2238.2919092096527,15908.708090790347,805.6964961476059,0.2860191921362207,27.171823252940964,27.171823252940964,0,0
172,2024-06-02 11:48:28,46,46,0,0,2225.4519474165118,15921.548052583488,806.18583970721,0.2721315207705764,12.518049955446514,12.518049955446514,0,0
173,2024-06-02 11:48:29,9,9,0,0,2206.7190718499087,15940.280928150092,806.8997680006945,0.2621603772880576,2.359443395592518,2.359443395592518,0,0
174,2024-06-02 11:48:30,0,0,0,0,2183.687010090058,15963.312989909942,807.7775425040898,0.25919154209089346,0,0,0,0
175,2024-06-02 11:48:31,7,7,0,0,2159.8239097603923,15987.176090239607,808.6869887039022,0.26002677801005886,1.820187446070412,1.820187446070412,0,0
176,2024-06-02 11:48:32,25,25,0,0,2137.0457651266483,16009.954234873352,809.5550861761399,0.2636051378110194,6.590128445275485,6.590128445275485,0,0
177,2024-06-02 11:48:33,0,0,0,0,2116.6062653606623,16030.393734639338,810.334055594675,0.2568469776277742,0,0,0,0
178,2024-06-02 11:48:34,5,5,0,0,2093.476216303578,16053.523783696422,811.2155644902433,0.2572180168691327,1.2860900843456635,1.2860900843456635,0,0
179,2024-06-02 11:48:35,0,0,0,0,2071.169515801993,16075.830484198006,812.0656947633956,0.2552589006205102,0,0,0,0
180,2024-06-02 11:48:36,13,13,0,0,2048.5359947309994,16098.464005269001,812.9282804895597,0.25753825831672567,3.347997358117434,3.347997358117434,0,0
181,2024-06-02 11:48:37,13,13,0,0,2027.6018070956952,16119.398192904304,813.726102948841,0.25679775111486813,3.338370764493286,3.338370764493286,0,0
182,2024-06-02 11:48:38,3,3,0,0,2006.8815479503357,16140.118452049664,814.515772383179,0.25370997573737447,0.7611299272121235,0.7611299272121235,0,0
183,2024-06-02 11:48:39,0,0,0,0,1985.2787313478277,16161.721268652173,815.3390769493493,0.2522568993494595,0,0,0,0
